family,label,site,flow_ml_min,parameter,parameter_value,baseline_icp_mmhg,outcome_icp_mmhg,delta_icp_mmhg,converged,duration_s,icp_std_mmhg,icp_drift_mmhg_min,max_pressure_drift_mmhg_min,max_pressure_residual_mmhg_min,branches_seen,minimum_Pv_minus_Pic_mmhg
matched_sensitivity,sens_ke_0p0924_pv240,Pv,240.0,kE,0.0924,22.698412384431148,19.630322326743098,3.0680900576880497,True,7800.0,1.7405089994125972e-05,2.989430158125816e-05,2.989430158125816e-05,2.804538154905856e-05,0,8.091313902612608
matched_sensitivity,sens_a_0p4_pv240,Pv,240.0,A,0.4,22.683427841843116,19.61833771398885,3.0650901278542655,True,7800.0,2.8739113105527718e-05,4.936303855812632e-05,4.936303855812632e-05,4.675690201427697e-05,0,8.092994597336943
matched_sensitivity,sens_a_0p8_pv240,Pv,240.0,A,0.8,22.69811640834893,19.629882901225525,3.0682335071234057,True,7800.0,2.8617982830192076e-05,4.91549761335547e-05,4.91549761335547e-05,4.655826572541865e-05,0,8.091372428995648
matched_sensitivity,sens_a_1p6_pv240,Pv,240.0,A,1.6,22.72776031002385,19.65319622076502,3.0745640892588284,True,7800.0,2.837543181522633e-05,4.873835240920068e-05,4.873835240920068e-05,4.616052889625484e-05,0,8.088095761021915
matched_sensitivity,sens_j3_remaining_fraction_0p075_pv240,Pv,240.0,J3_remaining_fraction,0.075,22.82667693676551,19.724849966632622,3.101826970132887,True,7800.0,2.7398165999641307e-05,4.705973844076555e-05,4.705973844076555e-05,4.4560852268563964e-05,0,8.078016527397846
matched_sensitivity,sens_j3_remaining_fraction_0p15_pv240,Pv,240.0,J3_remaining_fraction,0.15,22.69811640834893,19.629882901225525,3.0682335071234057,True,7800.0,2.8617982830192076e-05,4.91549761335547e-05,4.91549761335547e-05,4.655826572541865e-05,0,8.091372428995648
matched_sensitivity,sens_j3_remaining_fraction_0p3_pv240,Pv,240.0,J3_remaining_fraction,0.3,22.57098107074547,19.535855032725717,3.0351260380197544,True,7800.0,2.9868813169447603e-05,5.130348696467014e-05,5.130348696467014e-05,4.860713722387044e-05,0,8.104574244402826
matched_sensitivity,sens_rvs1_multiplier_1p5_pv240,Pv,240.0,Rvs1_multiplier,1.5,18.670664697974768,16.895245020977022,1.7754196769977462,True,9000.0,2.4194423461815657e-05,4.155805651384088e-05,4.155805651384088e-05,3.9673729851113564e-05,0,4.199238776957131
matched_sensitivity,sens_rvs1_multiplier_3_pv240,Pv,240.0,Rvs1_multiplier,3.0,22.69811640834893,19.629882901225525,3.0682335071234057,True,7800.0,2.8617982830192076e-05,4.91549761335547e-05,4.91549761335547e-05,4.655826572541865e-05,0,8.091372428995648
matched_sensitivity,sens_rvs1_multiplier_6_pv240,Pv,240.0,Rvs1_multiplier,6.0,29.296089653467895,24.32877676606404,4.967312887403857,True,7200.0,1.8690380514089536e-05,3.210124912624028e-05,3.210124912624028e-05,2.998405348542284e-05,0,14.886727694286563
matched_sensitivity,sens_gc3_0_pv240,Pv,240.0,Gc3,0.0,22.926875480102353,19.760388365455718,3.1664871146466353,True,7800.0,2.5321375180248113e-05,4.3492560009626355e-05,4.3492560009626355e-05,4.1174420271399546e-05,0,8.07301322566601
matched_sensitivity,sens_gc3_3p5_pv240,Pv,240.0,Gc3,3.5,22.832888854722466,19.706654215024304,3.1262346396981613,True,7800.0,2.6639165612380682e-05,4.5756060589580926e-05,4.5756060589580926e-05,4.3326186725128095e-05,0,8.080577540881372
matched_sensitivity,sens_gc3_10p715_pv240,Pv,240.0,Gc3,10.715,22.748128215934177,19.65833611754264,3.0897920983915377,True,7800.0,2.7871273500331023e-05,4.787239032977815e-05,4.787239032977815e-05,4.533850462217461e-05,0,8.087373300635448
matched_sensitivity,sens_gc3_21p43_pv240,Pv,240.0,Gc3,21.43,22.69811640834893,19.629882901225525,3.0682335071234057,True,7800.0,2.8617982830192076e-05,4.91549761335547e-05,4.91549761335547e-05,4.655826572541865e-05,0,8.091372428995648
matched_sensitivity,sens_gc3_42p86_pv240,Pv,240.0,Gc3,42.86,22.66092901645837,19.608750267719945,3.0521787487384238,True,7800.0,2.9182802683776295e-05,5.012513971700932e-05,5.012513971700932e-05,4.7481008780981206e-05,0,8.094341342576339
